Temp,Condition
203,0
204,0
204,0
206,0
206,0
205,0
206,0
206,0
205,0
203,0
203,0
201,0
201,0
201,0
200,0
200,0
200,0
200,0
198,0
202,0
202,0
202,0
202,0
202,0
202,0
202,0
202,0
204,0
204,0
204,0
204,0
204,0
206,0
206,0
206,0
206,0
206,0
206,0
206,0
204,0
201,0
201,0
200,0
201,0
201,0
203,0
203,0
203,0
202,0
202,0
202,0
202,0
202,0
202,0
204,0
206,0
206,0
206,0
206,0
204,0
206,0
206,0
206,0
206,0
206,0
206,0
203,0
201,0
201,0
199,0
202,0
202,0
201,0
201,0
201,0
201,0
201,0
202,0
203,0
200,0
200,0
204,0
204,0
204,0
204,0
204,0
204,0
206,0
206,0
208,0
208,0
207,0
205,0
203,0
203,0
203,0
203,0
203,0
201,0
201,0
201,0
198,0
198,0
198,0
198,0
201,0
201,0
201,0
203,0
203,0
203,0
204,0
206,0
208,0
208,0
208,0
208,0
208,0
208,0
207,0
205,0
203,0
203,0
203,0
203,0
201,0
201,0
199,0
199,0
199,0
199,0
199,0
199,0
201,0
199,0
200,0
200,0
200,0
200,0
200,0
202,0
202,0
202,0
204,0
204,0
206,0
206,0
206,0
207,0
207,0
206,0
206,0
204,0
204,0
204,0
201,0
201,0
201,0
201,0
203,0
202,0
202,0
202,0
204,0
204,0
204,0
208,0
208,0
208,0
209,0
209,0
207,0
209,0
207,0
206,0
206,0
203,0
203,0
203,0
201,0
201,0
201,0
201,0
199,0
199,0
199,0
199,0
199,0
201,0
203,0
203,0
203,0
206,0
206,0
206,0
209,0
209,0
209,0
211,1
208,0
208,0
208,0
208,0
208,0
208,0
208,0
206,0
206,0
205,0
203,0
203,0
203,0
203,0
201,0
201,0
201,0
201,0
201,0
201,0
201,0
201,0
201,0
201,0
204,0
204,0
204,0
206,0
208,0
208,0
208,0
211,1
208,0
208,0
208,0
208,0
208,0
205,0
203,0
203,0
203,0
203,0
203,0
203,0
203,0
203,0
203,0
207,0
207,0
209,0
206,0
205,0
207,0
207,0
205,0
205,0
205,0
205,0
205,0
207,0
206,0
206,0
204,0
204,0
200,0
198,0
198,0
198,0
199,0
199,0
201,0
201,0
203,0
203,0
206,0
206,0
206,0
206,0
206,0
206,0
206,0
206,0
208,0
208,0
211,1
211,1
208,0
205,0
205,0
205,0
205,0
201,0
201,0
201,0
199,0
197,0
197,0
197,0
197,0
198,0
198,0
198,0
198,0
199,0
202,0
202,0
202,0
204,0
206,0
206,0
208,0
208,0
208,0
208,0
208,0
209,0
209,0
207,0
207,0
205,0
203,0
203,0
203,0
203,0
203,0
203,0
203,0
205,0
205,0
205,0
203,0
203,0
203,0
203,0
201,0
202,0
202,0
202,0
202,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
204,0
207,0
207,0
207,0
207,0
207,0
207,0
206,0
206,0
206,0
208,0
208,0
209,0
208,0
208,0
205,0
205,0
205,0
205,0
205,0
205,0
205,0
203,0
203,0
202,0
202,0
201,0
201,0
201,0
202,0
202,0
202,0
202,0
202,0
207,0
209,0
209,0
207,0
207,0
207,0
207,0
207,0
207,0
207,0
207,0
207,0
207,0
204,0
202,0
202,0
202,0
202,0
202,0
202,0
200,0
200,0
200,0
200,0
203,0
203,0
203,0
203,0
205,0
205,0
207,0
207,0
209,0
209,0
209,0
209,0
209,0
209,0
205,0
205,0
205,0
205,0
205,0
205,0
203,0
201,0
201,0
201,0
201,0
201,0
201,0
201,0
204,0
205,0
205,0
205,0
208,0
208,0
210,1
210,1
212,1
212,1
212,1
208,0
208,0
208,0
208,0
208,0
206,0
200,0
200,0
198,0
198,0
201,0
201,0
201,0
201,0
204,0
204,0
207,0
204,0
206,0
209,0
209,0
209,0
209,0
209,0
207,0
207,0
208,0
208,0
208,0
208,0
208,0
209,0
209,0
206,0
203,0
199,0
199,0
202,0
202,0
202,0
202,0
202,0
206,0
205,0
208,0
206,0
206,0
209,0
209,0
209,0
209,0
209,0
209,0
206,0
204,0
204,0
204,0
206,0
206,0
208,0
207,0
203,0
199,0
199,0
199,0
203,0
203,0
203,0
203,0
207,0
207,0
207,0
207,0
207,0
207,0
210,1
210,1
210,1
208,0
206,0
206,0
206,0
206,0
206,0
208,0
208,0
208,0
211,1
208,0
203,0
203,0
201,0
201,0
201,0
204,0
206,0
203,0
203,0
207,0
207,0
207,0
207,0
209,0
211,1
209,0
209,0
209,0
209,0
206,0
205,0
205,0
205,0
205,0
207,0
210,1
210,1
210,1
204,0
202,0
201,0
201,0
203,0
203,0
203,0
204,0
206,0
208,0
208,0
208,0
206,0
208,0
208,0
208,0
208,0
208,0
208,0
205,0
207,0
204,0
207,0
209,0
209,0
209,0
209,0
209,0
205,0
202,0
199,0
202,0
202,0
204,0
205,0
205,0
207,0
207,0
207,0
208,0
208,0
208,0
211,1
211,1
210,1
208,0
206,0
203,0
203,0
203,0
203,0
203,0
205,0
207,0
207,0
207,0
209,0
210,1
212,1
214,1
214,1
219,1
219,1
222,1
222,1
226,1
227,1
229,1
230,1
232,1
232,1
232,1
232,1
232,1
232,1
